Species,Treatment,Concentration,Day,FlaskID,ReadingID,RFU
T_weissflogii,Al,0,6,1,2,26082.9
T_weissflogii,Al,0,6,1,3,25241.12
T_weissflogii,Al,0,6,2,1,30794.21
T_weissflogii,Al,0,6,2,2,30980.94
T_weissflogii,Al,0,6,2,3,30287.37
T_weissflogii,Al,0,6,3,1,25208.61
T_weissflogii,Al,0,6,3,2,23757.14
T_weissflogii,Al,0,6,3,3,22016.01
T_weissflogii,Al,0.1,6,1,1,27088.66
T_weissflogii,Al,0.1,6,1,2,26554.38
T_weissflogii,Al,0.1,6,1,3,26353.03
T_weissflogii,Al,0.1,6,2,1,26883.85
T_weissflogii,Al,0.1,6,2,2,26271.71
T_weissflogii,Al,0.1,6,2,3,24675.88
T_weissflogii,Al,0.1,6,3,1,34742.37
T_weissflogii,Al,0.1,6,3,2,33755.55
T_weissflogii,Al,0.1,6,3,3,32847.6
T_weissflogii,Al,1,6,1,1,4802.31
T_weissflogii,Al,1,6,1,2,4255.19
T_weissflogii,Al,1,6,1,3,3844.42
T_weissflogii,Al,1,6,2,1,4447.83
T_weissflogii,Al,1,6,2,2,4010.47
T_weissflogii,Al,1,6,2,3,3684.39
T_weissflogii,Al,1,6,3,1,4630.68
T_weissflogii,Al,1,6,3,2,4188.49
T_weissflogii,Al,1,6,3,3,3818.6
T_weissflogii,Al,0,7,1,1,21988.39
T_weissflogii,Al,0,7,1,2,20544.14
T_weissflogii,Al,0,7,1,3,18879.06
T_weissflogii,Al,0,7,2,1,21086.14
T_weissflogii,Al,0,7,2,2,18590.59
T_weissflogii,Al,0,7,2,3,17571.9
T_weissflogii,Al,0,7,3,1,19777.88
T_weissflogii,Al,0,7,3,2,17968.56
T_weissflogii,Al,0,7,3,3,16993.19
T_weissflogii,Al,0.1,7,1,1,29949.62
T_weissflogii,Al,0.1,7,1,2,28515.26
T_weissflogii,Al,0.1,7,1,3,27498.05
T_weissflogii,Al,0.1,7,2,1,28334.11
T_weissflogii,Al,0.1,7,2,2,24456.68
T_weissflogii,Al,0.1,7,2,3,23988.02
T_weissflogii,Al,0.1,7,3,1,24824.28
T_weissflogii,Al,0.1,7,3,2,21319.02
T_weissflogii,Al,0.1,7,3,3,19435.45
T_weissflogii,Al,1,7,1,1,10399.98
T_weissflogii,Al,1,7,1,2,10131.66
T_weissflogii,Al,1,7,1,3,9654.95
T_weissflogii,Al,1,7,2,1,9724.28
T_weissflogii,Al,1,7,2,2,9544.98
T_weissflogii,Al,1,7,2,3,9399.63
T_weissflogii,Al,1,7,3,1,10755.44
T_weissflogii,Al,1,7,3,2,10459.89
T_weissflogii,Al,1,7,3,3,10466.48
T_weissflogii,Al,0,8,1,1,12857.39
T_weissflogii,Al,0,8,1,2,11658.61
T_weissflogii,Al,0,8,1,3,9380.87
T_weissflogii,Al,0,8,2,1,14009.2
T_weissflogii,Al,0,8,2,2,11658.56
T_weissflogii,Al,0,8,2,3,10362.59
T_weissflogii,Al,0,8,3,1,16070.45
T_weissflogii,Al,0,8,3,2,13215.86
T_weissflogii,Al,0,8,3,3,12400.11
T_weissflogii,Al,0.1,8,1,1,17804.19
T_weissflogii,Al,0.1,8,1,2,15821.29
T_weissflogii,Al,0.1,8,1,3,15022.44
T_weissflogii,Al,0.1,8,2,1,17273.32
T_weissflogii,Al,0.1,8,2,2,16431.92
T_weissflogii,Al,0.1,8,2,3,13117.38
T_weissflogii,Al,0.1,8,3,1,18586.16
T_weissflogii,Al,0.1,8,3,2,15156.07
T_weissflogii,Al,0.1,8,3,3,14443.14
T_weissflogii,Al,1,8,1,1,21777.05
T_weissflogii,Al,1,8,1,2,20918.01
T_weissflogii,Al,1,8,1,3,20699.45
T_weissflogii,Al,1,8,2,1,19383.04
T_weissflogii,Al,1,8,2,2,18800.72
T_weissflogii,Al,1,8,2,3,18140.4
T_weissflogii,Al,1,8,3,1,25377.02
T_weissflogii,Al,1,8,3,2,24189.04
T_weissflogii,Al,1,8,3,3,23456.46
T_weissflogii,Al,0,9,1,1,5595.37
T_weissflogii,Al,0,9,1,2,5787.52
T_weissflogii,Al,0,9,1,3,5790.79
T_weissflogii,Al,0,9,2,1,6591.95
T_weissflogii,Al,0,9,2,2,6650.28
T_weissflogii,Al,0,9,2,3,6487.66
T_weissflogii,Al,0,9,3,1,5210.76
T_weissflogii,Al,0,9,3,2,5013.5
T_weissflogii,Al,0,9,3,3,4914.92
T_weissflogii,Al,0.1,9,1,1,7687.16
T_weissflogii,Al,0.1,9,1,2,7904.93
T_weissflogii,Al,0.1,9,1,3,8095.13
T_weissflogii,Al,0.1,9,2,1,7260.96
T_weissflogii,Al,0.1,9,2,2,7024.38
T_weissflogii,Al,0.1,9,2,3,7014.47
T_weissflogii,Al,0.1,9,3,1,7184.32
T_weissflogii,Al,0.1,9,3,2,6849.5
T_weissflogii,Al,0.1,9,3,3,6780.7
T_weissflogii,Al,1,9,1,1,7579.01
T_weissflogii,Al,1,9,1,2,7146.27
T_weissflogii,Al,1,9,1,3,7719.3
T_weissflogii,Al,1,9,2,1,8143.36
T_weissflogii,Al,1,9,2,2,7769.66
T_weissflogii,Al,1,9,2,3,8279.98
T_weissflogii,Al,1,9,3,1,8222.48
T_weissflogii,Al,1,9,3,2,7476.26
T_weissflogii,Al,1,9,3,3,7237.77
T_weissflogii,Zn,0,0,1,1,98.77
T_weissflogii,Zn,0,0,1,2,87.77
T_weissflogii,Zn,0,0,1,3,84.24
T_weissflogii,Zn,0,0,2,1,109.01
T_weissflogii,Zn,0,0,2,2,107.73
T_weissflogii,Zn,0,0,2,3,101.86
T_weissflogii,Zn,0,0,3,1,103.25
T_weissflogii,Zn,0,0,3,2,99.04
T_weissflogii,Zn,0,0,3,3,101.28
T_weissflogii,Zn,8,0,1,1,110.85
T_weissflogii,Zn,8,0,1,2,88.71
T_weissflogii,Zn,8,0,1,3,82.27
T_weissflogii,Zn,8,0,2,1,111.75
T_weissflogii,Zn,8,0,2,2,103.54
T_weissflogii,Zn,8,0,2,3,98.76
T_weissflogii,Zn,8,0,3,1,111.36
T_weissflogii,Zn,8,0,3,2,93.57
T_weissflogii,Zn,8,0,3,3,93.69
T_weissflogii,Zn,24,0,1,1,173.14
T_weissflogii,Zn,24,0,1,2,143.14
T_weissflogii,Zn,24,0,1,3,136.38
T_weissflogii,Zn,24,0,2,1,156.52
T_weissflogii,Zn,24,0,2,2,130.77
T_weissflogii,Zn,24,0,2,3,125.59
T_weissflogii,Zn,24,0,3,1,139.58
T_weissflogii,Zn,24,0,3,2,115.01
T_weissflogii,Zn,24,0,3,3,108.86
T_weissflogii,Zn,0,1,1,1,250.42
T_weissflogii,Zn,0,1,1,2,211.42
T_weissflogii,Zn,0,1,1,3,182.27
T_weissflogii,Zn,0,1,2,1,287.27
T_weissflogii,Zn,0,1,2,2,244.27
T_weissflogii,Zn,0,1,2,3,244.18
T_weissflogii,Zn,0,1,3,1,322.07
T_weissflogii,Zn,0,1,3,2,281.26
T_weissflogii,Zn,0,1,3,3,233.31
T_weissflogii,Zn,8,1,1,1,279.77
T_weissflogii,Zn,8,1,1,2,248.57
T_weissflogii,Zn,8,1,1,3,212.34
T_weissflogii,Zn,8,1,2,1,290.79
T_weissflogii,Zn,8,1,2,2,249.86
T_weissflogii,Zn,8,1,2,3,212.31
T_weissflogii,Zn,8,1,3,1,313.23
T_weissflogii,Zn,8,1,3,2,261.34
T_weissflogii,Zn,8,1,3,3,211
T_weissflogii,Zn,24,1,1,1,344.99
T_weissflogii,Zn,24,1,1,2,294.97
T_weissflogii,Zn,24,1,1,3,249.87
T_weissflogii,Zn,24,1,2,1,305.98
T_weissflogii,Zn,24,1,2,2,259.63
T_weissflogii,Zn,24,1,2,3,225.06
T_weissflogii,Zn,24,1,3,1,264.74
T_weissflogii,Zn,24,1,3,2,217.83
T_weissflogii,Zn,24,1,3,3,204.52
T_weissflogii,Zn,0,2,1,1,1444.05
T_weissflogii,Zn,0,2,1,2,1357.28
T_weissflogii,Zn,0,2,1,3,1357.62
T_weissflogii,Zn,0,2,2,1,1757.43
T_weissflogii,Zn,0,2,2,2,1686.35
T_weissflogii,Zn,0,2,2,3,1593.61
T_weissflogii,Zn,0,2,3,1,1676.16
T_weissflogii,Zn,0,2,3,2,1563.6
T_weissflogii,Zn,0,2,3,3,1503.37
T_weissflogii,Zn,8,2,1,1,1348.64
T_weissflogii,Zn,8,2,1,2,1269.29
T_weissflogii,Zn,8,2,1,3,1215.84
T_weissflogii,Zn,8,2,2,1,1489.2
T_weissflogii,Zn,8,2,2,2,1392.46
T_weissflogii,Zn,8,2,2,3,1312.59
T_weissflogii,Zn,8,2,3,1,1455.73
T_weissflogii,Zn,8,2,3,2,1381.18
T_weissflogii,Zn,8,2,3,3,1292.33
T_weissflogii,Zn,24,2,1,1,973.53
T_weissflogii,Zn,24,2,1,2,850.17
T_weissflogii,Zn,24,2,1,3,785.89
T_weissflogii,Zn,24,2,2,1,1016.25
T_weissflogii,Zn,24,2,2,2,900.95
T_weissflogii,Zn,24,2,2,3,832.39
T_weissflogii,Zn,24,2,3,1,886.16
T_weissflogii,Zn,24,2,3,2,804.66
T_weissflogii,Zn,24,2,3,3,739.62
T_weissflogii,Zn,0,3,1,1,4023.42
T_weissflogii,Zn,0,3,1,2,3788.93
T_weissflogii,Zn,0,3,1,3,3643.26
T_weissflogii,Zn,0,3,2,1,4855.44
T_weissflogii,Zn,0,3,2,2,4642.64
T_weissflogii,Zn,0,3,2,3,4436.19
T_weissflogii,Zn,0,3,3,1,4451.31
T_weissflogii,Zn,0,3,3,2,4220.13
T_weissflogii,Zn,0,3,3,3,4003.83
T_weissflogii,Zn,8,3,1,1,3237.42
T_weissflogii,Zn,8,3,1,2,2994.05
T_weissflogii,Zn,8,3,1,3,2657.31
T_weissflogii,Zn,8,3,2,1,3694.51
T_weissflogii,Zn,8,3,2,2,3314.44
T_weissflogii,Zn,8,3,2,3,3035.88
T_weissflogii,Zn,8,3,3,1,3509.18
T_weissflogii,Zn,8,3,3,2,3141.96
T_weissflogii,Zn,8,3,3,3,2864.57
T_weissflogii,Zn,24,3,1,1,1447.5
T_weissflogii,Zn,24,3,1,2,1296.61
T_weissflogii,Zn,24,3,1,3,1233.06
T_weissflogii,Zn,24,3,2,1,1580.03
T_weissflogii,Zn,24,3,2,2,1369.5
T_weissflogii,Zn,24,3,2,3,1272.23
T_weissflogii,Zn,24,3,3,1,1323.74
T_weissflogii,Zn,24,3,3,2,1179.91
T_weissflogii,Zn,24,3,3,3,1135.56
T_weissflogii,Zn,0,4,1,1,8836.62
T_weissflogii,Zn,0,4,1,2,6912.44
T_weissflogii,Zn,0,4,1,3,6073.14
T_weissflogii,Zn,0,4,2,1,9860.48
T_weissflogii,Zn,0,4,2,2,7850.64
T_weissflogii,Zn,0,4,2,3,7243.45
T_weissflogii,Zn,0,4,3,1,9490.63
T_weissflogii,Zn,0,4,3,2,7708.88
T_weissflogii,Zn,0,4,3,3,6941.24
T_weissflogii,Zn,8,4,1,1,7718.22
T_weissflogii,Zn,8,4,1,2,6220.01
T_weissflogii,Zn,8,4,1,3,5501.43
T_weissflogii,Zn,8,4,2,1,8324.72
T_weissflogii,Zn,8,4,2,2,6887.57
T_weissflogii,Zn,8,4,2,3,6388.39
T_weissflogii,Zn,8,4,3,1,6791.66
T_weissflogii,Zn,8,4,3,2,5194.86
T_weissflogii,Zn,8,4,3,3,5457.76
T_weissflogii,Zn,24,4,1,1,2247.96
T_weissflogii,Zn,24,4,1,2,1699.95
T_weissflogii,Zn,24,4,1,3,1469.01
T_weissflogii,Zn,24,4,2,1,2090.63
T_weissflogii,Zn,24,4,2,2,1653.92
T_weissflogii,Zn,24,4,2,3,1455.81
T_weissflogii,Zn,24,4,3,1,1524.79
T_weissflogii,Zn,24,4,3,2,1323.94
T_weissflogii,Zn,24,4,3,3,1334.89
T_weissflogii,Zn,0,5,1,1,13665.43
T_weissflogii,Zn,0,5,1,2,12120.37
T_weissflogii,Zn,0,5,1,3,10937.08
T_weissflogii,Zn,0,5,2,1,15801.72
T_weissflogii,Zn,0,5,2,2,13501.87
T_weissflogii,Zn,0,5,2,3,11652.41
T_weissflogii,Zn,0,5,3,1,14345.11
T_weissflogii,Zn,0,5,3,2,12712.37
T_weissflogii,Zn,0,5,3,3,11694.42
T_weissflogii,Zn,8,5,1,1,14570.97
T_weissflogii,Zn,8,5,1,2,12485.37
T_weissflogii,Zn,8,5,1,3,11151.76
T_weissflogii,Zn,8,5,2,1,19093.12
T_weissflogii,Zn,8,5,2,2,15061.21
T_weissflogii,Zn,8,5,2,3,14287.33
T_weissflogii,Zn,8,5,3,1,13731.12
T_weissflogii,Zn,8,5,3,2,11777.24
T_weissflogii,Zn,8,5,3,3,10196.79
T_weissflogii,Zn,24,5,1,1,2441.17
T_weissflogii,Zn,24,5,1,2,2154.94
T_weissflogii,Zn,24,5,1,3,2019.79
T_weissflogii,Zn,24,5,2,1,2105.6
T_weissflogii,Zn,24,5,2,2,1837.85
T_weissflogii,Zn,24,5,2,3,1792.65
T_weissflogii,Zn,24,5,3,1,1843.35
T_weissflogii,Zn,24,5,3,2,1607.6
T_weissflogii,Zn,24,5,3,3,1614.1
T_weissflogii,Zn,0,6,1,1,18050.03
T_weissflogii,Zn,0,6,1,2,16219.76
T_weissflogii,Zn,0,6,1,3,15605.75
T_weissflogii,Zn,0,6,2,1,18251.7
T_weissflogii,Zn,0,6,2,2,18057.22
T_weissflogii,Zn,0,6,2,3,17570.11
T_weissflogii,Zn,0,6,3,1,18991.71
T_weissflogii,Zn,0,6,3,2,16240.22
T_weissflogii,Zn,0,6,3,3,16699.44
T_weissflogii,Zn,8,6,1,1,15354.33
T_weissflogii,Zn,8,6,1,2,13120.1
T_weissflogii,Zn,8,6,1,3,13739.53
T_weissflogii,Zn,8,6,2,1,16577.03
T_weissflogii,Zn,8,6,2,2,14547.29
T_weissflogii,Zn,8,6,2,3,14458.96
T_weissflogii,Zn,8,6,3,1,16510.28
T_weissflogii,Zn,8,6,3,2,13845.59
T_weissflogii,Zn,8,6,3,3,13562.16
T_weissflogii,Zn,24,6,1,1,2596.99
T_weissflogii,Zn,24,6,1,2,2039.71
T_weissflogii,Zn,24,6,1,3,1817.87
T_weissflogii,Zn,24,6,2,1,2879.63
T_weissflogii,Zn,24,6,2,2,2198.2
T_weissflogii,Zn,24,6,2,3,1892.54
T_weissflogii,Zn,24,6,3,1,2433.09
T_weissflogii,Zn,24,6,3,2,1915.73
T_weissflogii,Zn,24,6,3,3,1679.88
T_weissflogii,Zn,0,7,1,1,25007.9
T_weissflogii,Zn,0,7,1,2,22606.48
T_weissflogii,Zn,0,7,1,3,20017.25
T_weissflogii,Zn,0,7,2,1,27903.09
T_weissflogii,Zn,0,7,2,2,24798.85
T_weissflogii,Zn,0,7,2,3,22338.54
T_weissflogii,Zn,0,7,3,1,23666.23
T_weissflogii,Zn,0,7,3,2,19917.46
T_weissflogii,Zn,0,7,3,3,18817.64
T_weissflogii,Zn,8,7,1,1,14413.5
T_weissflogii,Zn,8,7,1,2,12892.64
T_weissflogii,Zn,8,7,1,3,12690.18
T_weissflogii,Zn,8,7,2,1,15080.71
T_weissflogii,Zn,8,7,2,2,14156.93
T_weissflogii,Zn,8,7,2,3,13100.88
T_weissflogii,Zn,8,7,3,1,15521.56
T_weissflogii,Zn,8,7,3,2,14528.47
T_weissflogii,Zn,8,7,3,3,13179.6
T_weissflogii,Zn,24,7,1,1,2265.23
T_weissflogii,Zn,24,7,1,2,2203.65
T_weissflogii,Zn,24,7,1,3,2193.44
T_weissflogii,Zn,24,7,2,1,1932.82
T_weissflogii,Zn,24,7,2,2,1648.65
T_weissflogii,Zn,24,7,2,3,1643.29
T_weissflogii,Zn,24,7,3,1,1791.82
T_weissflogii,Zn,24,7,3,2,1574.19
T_weissflogii,Zn,24,7,3,3,1572.46
T_weissflogii,Zn,0,8,1,1,15865.25
T_weissflogii,Zn,0,8,1,2,11251.74
T_weissflogii,Zn,0,8,1,3,11774.36
T_weissflogii,Zn,0,8,2,1,13923.35
T_weissflogii,Zn,0,8,2,2,9574.66
T_weissflogii,Zn,0,8,2,3,9808.09
T_weissflogii,Zn,0,8,3,1,14993.61
T_weissflogii,Zn,0,8,3,2,10236.12
T_weissflogii,Zn,0,8,3,3,10358.28
T_weissflogii,Zn,8,8,1,1,9688.89
T_weissflogii,Zn,8,8,1,2,7595.54
T_weissflogii,Zn,8,8,1,3,9187.14
T_weissflogii,Zn,8,8,2,1,12109.97
T_weissflogii,Zn,8,8,2,2,12095.76
T_weissflogii,Zn,8,8,2,3,10324.96
T_weissflogii,Zn,8,8,3,1,12584.2
T_weissflogii,Zn,8,8,3,2,13006.37
T_weissflogii,Zn,8,8,3,3,11979.15
T_weissflogii,Zn,24,8,1,1,1305.3
T_weissflogii,Zn,24,8,1,2,1099.75
T_weissflogii,Zn,24,8,1,3,1011.29
T_weissflogii,Zn,24,8,2,1,1852.25
T_weissflogii,Zn,24,8,2,2,1497.36
T_weissflogii,Zn,24,8,2,3,1321.42
T_weissflogii,Zn,24,8,3,1,1617.77
T_weissflogii,Zn,24,8,3,2,1410.52
T_weissflogii,Zn,24,8,3,3,1300.41
T_pseudonana,Al,0,0,1,1,110.14
T_pseudonana,Al,0,0,1,2,104.71
T_pseudonana,Al,0,0,1,3,103.06
T_pseudonana,Al,0,0,2,1,116.04
T_pseudonana,Al,0,0,2,2,111.65
T_pseudonana,Al,0,0,2,3,109.56
T_pseudonana,Al,0,0,3,1,122.89
T_pseudonana,Al,0,0,3,2,119.01
T_pseudonana,Al,0,0,3,3,116.54
